,Song,Color,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo
0,Don't Panic,tomato,0.206,0.602,0.612,0.00616,0.107,-8.409,0.0335,122.062
1,水の中で,paleturquoise,0.437,0.394,0.729,1.85e-05,0.216,-4.805,0.0661,100.151
2,Meet Me In The Hallway,lavender,0.747,0.537,0.383,0.00025,0.356,-6.528,0.0247,104.252
3,Sign of the Times,darkseagreen,0.0275,0.516,0.595,0.0,0.109,-4.63,0.0313,119.972
4,Carolina,lightseagreen,0.000569,0.624,0.673,1.54e-06,0.104,-4.017,0.0268,121.986
5,Two Ghosts,gold,0.234,0.386,0.407,1.86e-06,0.0999,-7.095,0.0268,69.387
6,Sweet Creature,lightsalmon,0.746,0.427,0.262,0.0,0.068,-8.541,0.0276,104.085
7,Only Angel,red,0.287,0.554,0.842,0.0,0.106,-4.113,0.0397,114.036
8,Kiwi,darkred,0.00064,0.375,0.93,0.0,0.318,-2.631,0.0561,147.124
9,Robbery,firebrick,0.328,0.685,0.692,0.0,0.153,-5.122,0.0457,159.966
10,bad guy,forestgreen,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,135.128
11,Stigma,lightsteelblue,0.148,0.583,0.475,0.0,0.139,-5.556,0.0846,136.034
12,Drown,deepskyblue,0.501,0.839,0.81,0.0,0.117,-5.274,0.0568,129.014
13,Danse Macabre,indigo,0.898,0.371,0.131,0.925,0.0847,-23.899,0.0413,105.328
14,Fallin' All In You,lightpink,0.405,0.853,0.476,0.0,0.111,-6.696,0.0361,92.038
15,America,darkseagreen,0.448,0.55,0.824,0.000127,0.366,-5.988,0.0334,114.512
16,Supercut,chocolate,0.0789,0.807,0.539,0.0,0.0928,-8.193,0.124,127.992
17,Satisfied,gold,0.287,0.707,0.593,0.0,0.15,-8.581,0.0949,123.772
18,Love Shot,darkred,0.0702,0.689,0.678,0.0,0.0889,-4.287,0.119,145.883
19,Wildest Dream,mediumorchid,0.0709,0.553,0.664,0.0056,0.106,-7.417,0.0741,140.06
20,Harder Better Faster Stronger,aqua,0.0427,0.817,0.716,0.00263,0.358,-8.898,0.144,123.475
21,Human,coral,0.393,0.602,0.707,0.0,0.165,-4.097,0.302,75.09
22,Say,darkmagenta,0.256,0.787,0.673,3.57e-06,0.0904,-4.577,0.158,110.962
23,I Write Sins Not Tragedies,darkred,0.0807,0.569,0.83,0.0,0.114,-4.106,0.14,170.094
24,21st Century,peru,0.00423,0.716,0.906,0.0,0.0547,-3.539,0.0717,101.028
25,Stereo Hearts,silver,0.0319,0.646,0.795,0.0,0.267,-3.293,0.0976,89.99
26,Rockabye,aquamarine,0.406,0.72,0.763,0.0,0.18,-4.068,0.0523,101.965
27,Moral Of The Story,midnightblue,0.587,0.572,0.406,4.48e-06,0.102,-8.624,0.0427,119.812
28,Yellow,lightpink,0.00239,0.429,0.661,0.00013,0.234,-7.227,0.0281,173.365
29,In Bloom,crimson,3.33e-05,0.436,0.876,0.000104,0.205,-4.902,0.0647,157.044
30,poison,darkgreen,0.711,0.689,0.394,0.000905,0.0859,-10.102,0.065,117.489
31,Without You,yellow,0.00163,0.662,0.858,0.0,0.0456,-4.844,0.0428,133.993
32,I Need To Get Off My Phone,darkmagenta,0.00193,0.311,0.877,0.793,0.0976,-7.025,0.0622,157.63
33,say something,powderblue,0.857,0.407,0.147,2.89e-06,0.0913,-8.822,0.0355,141.284
34,I Don’t Know About You,darkturquoise,0.602,0.593,0.81,0.0,0.119,-5.733,0.0625,144.011
35,Cardigan,oldlace,0.537,0.613,0.581,0.000345,0.25,-8.588,0.0424,130.033
36,Stressed Out,darkred,0.0462,0.734,0.637,2.29e-05,0.0602,-5.677,0.141,169.977
37,mirrorball,ghostwhite,0.687,0.553,0.413,2.33e-06,0.0594,-10.037,0.0334,110.107
38,We find love,aliceblue,0.853,0.51,0.363,0.0,0.109,-8.635,0.0304,78.0
39,The Village,lemonchiffon,0.534,0.55,0.363,0.0,0.128,-7.326,0.0336,121.94
40,Two of Us,cyan,0.21,0.614,0.605,0.0,0.162,-5.63,0.0319,127.099
41,Behind the Sea,lightcoral,0.173,0.281,0.679,4.38e-06,0.0919,-7.564,0.0449,80.078
42,Better Than Revenge,purple,0.0139,0.516,0.917,6.37e-06,0.36,-3.186,0.0827,145.821
43,The Love Club,mistyrose,0.212,0.794,0.493,0.0133,0.13,-7.257,0.0563,92.026
44,Birth in Reverse,saddlebrown,0.0107,0.571,0.867,0.000159,0.251,-6.794,0.109,161.991
45,VCR,lightskyblue,0.891,0.755,0.482,0.818,0.1,-12.729,0.03,109.354
46,heather,lightslategray,0.584,0.357,0.425,0.0,0.322,-7.301,0.0333,102.078
47,Sober,slateblue,0.124,0.707,0.562,1.58e-05,0.561,-7.621,0.0305,98.094
